


商品名称 ：铜                  2020-02-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,253518,41069,期货公司  ,347786,10783,期货公司  ,341642,10183,
非期货公司,1570,-617,非期货公司,1873,233,非期货公司,8017,833,
合约代码 ：cu2002                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
13,五矿经易  ,235,-270,13,大有期货  ,195,-490,13,兴业期货  ,100,20,
14,永安期货  ,220,-130,14,鲁证期货  ,190,-355,14,海证期货  ,55,0,
15,中信建投  ,175,80,15,兴业期货  ,170,0,15,首创期货  ,5,0,
16,铜冠金源  ,160,40,16,海通期货  ,150,0,16,,,,
17,华泰期货  ,125,-185,17,中信建投  ,140,65,17,,,,
18,金瑞期货  ,120,-155,18,广发期货  ,120,0,18,,,,
19,首创期货  ,115,105,19,先融期货  ,95,0,19,,,,
20,国贸期货  ,100,-350,20,金瑞期货  ,90,-20,20,,,,
合计,,10635,3360,合计,,6845,-775,合计,,7720,-170,
合约代码 ：zn2003                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,7467,-4716,1,国金期货  ,5240,261,1,五矿经易  ,5908,113,
2,中信期货  ,4412,-1117,2,一德期货  ,3290,507,2,中信期货  ,4882,480,
3,东证期货  ,3849,26,3,国信期货  ,3209,-30,3,格林大华  ,3877,-46,
4,海通期货  ,2811,-898,4,信达期货  ,1723,47,4,中粮期货  ,2014,-17,
5,中粮期货  ,2358,1854,5,华闻期货  ,1723,-49,5,国投安信  ,1838,-715,
6,国投安信  ,1654,766,6,国贸期货  ,1690,-4,6,永安期货  ,1674,102,
7,国富期货  ,1467,-447,7,上海中期  ,1450,-47,7,中银国际  ,1654,0,
8,国泰君安  ,1406,762,8,方正中期  ,1337,18,8,银河期货  ,1500,-19,
9,广发期货  ,1293,937,9,大有期货  ,1277,759,9,国贸期货  ,1373,55,
10,一德期货  ,1152,240,10,华泰期货  ,1273,150,10,国海良时  ,1361,480,
11,国海良时  ,1080,113,11,金瑞期货  ,1215,-29,11,一德期货  ,1333,-157,
12,银河期货  ,1075,-1041,12,永安期货  ,1212,-180,12,海通期货  ,1086,17,
13,大有期货  ,1005,563,13,东证期货  ,1014,139,13,兴业期货  ,1068,-143,
14,国信期货  ,994,87,14,五矿经易  ,831,5,14,建信期货  ,1043,118,
15,美尔雅    ,815,-41,15,中银国际  ,824,-1,15,迈科期货  ,927,-1,
16,浙商期货  ,726,140,16,中信期货  ,796,-712,16,国泰君安  ,781,-287,
17,五矿经易  ,708,-570,17,中财期货  ,572,-517,17,光大期货  ,705,57,
18,中财期货  ,555,526,18,首创期货  ,559,-43,18,华西期货  ,610,-1,
19,中辉期货  ,533,-348,19,建信期货  ,557,-22,19,方正中期  ,600,4,
20,方正中期  ,524,-186,20,南华期货  ,557,29,20,华泰期货  ,534,-11,
合计,,35884,-3350,合计,,30349,281,合计,,34768,29,
合约代码 ：zn2004                        2020-02-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,华泰期货  ,24793,2942,1,中信期货  ,10830,507,1,中信期货  ,6786,45,
2,东证期货  ,9419,-817,2,国金期货  ,4589,7,2,国投安信  ,5382,57,
3,中信期货  ,8654,-1179,3,五矿经易  ,3871,737,3,方正中期  ,4768,-42,
4,兴证期货  ,5587,-301,4,银河期货  ,3805,9,4,五矿经易  ,4712,69,
5,海通期货  ,5019,-1616,5,中信建投  ,3413,1343,5,海通期货  ,4319,214,
