

商品名称 ：铜                  2020-03-13,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,569826,88798,期货公司  ,400920,-5316,期货公司  ,399175,-5188,
非期货公司,1452,512,非期货公司,3929,-74,非期货公司,5674,-202,
合约代码 ：cu2003                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
2,中信期货  ,13919,518,2,永安期货  ,7415,1302,2,国泰君安  ,13433,-177,
3,国富期货  ,12076,3285,3,国金期货  ,7049,19,3,云晨期货  ,9265,-1400,
4,东证期货  ,9023,4121,4,中粮期货  ,5865,-26,4,银河期货  ,9259,-38,
5,华泰期货  ,8467,2794,5,华泰期货  ,5832,-934,5,中国国际  ,5073,-558,
6,国泰君安  ,7621,3327,6,一德期货  ,5439,-102,6,广发期货  ,4337,69,
7,国信期货  ,7119,4474,7,南华期货  ,4495,-305,7,永安期货  ,4132,-98,
8,中辉期货  ,6749,3601,8,银河期货  ,4439,-34,8,东证期货  ,3800,90,
9,南华期货  ,6675,4350,9,国泰君安  ,4063,2602,9,国信期货  ,3632,221,
10,兴证期货  ,6349,3778,10,上海中期  ,4058,-170,10,一德期货  ,3614,1526,
11,方正中期  ,6244,2522,11,金瑞期货  ,3725,-422,11,华泰期货  ,3572,-677,
12,申万期货  ,5452,1852,12,国投安信  ,3596,118,12,海通期货  ,3469,-828,
13,金瑞期货  ,4118,2455,13,建信期货  ,3542,-2,13,金瑞期货  ,3257,-278,
14,美尔雅    ,3303,2818,14,方正中期  ,3334,176,14,国贸期货  ,3210,732,
15,国投安信  ,3096,428,15,国信期货  ,3209,30,15,中粮期货  ,3041,445,
16,永安期货  ,2938,1346,16,国贸期货  ,2918,219,16,华融期货  ,2884,198,
17,光大期货  ,2926,1010,17,信达期货  ,2891,-483,17,国投安信  ,2734,-386,
18,华闻期货  ,2450,804,18,瑞达期货  ,2762,4,18,方正中期  ,2607,-1776,
19,一德期货  ,2402,2099,19,迈科期货  ,2674,2,19,浙商期货  ,2269,23,
20,国海良时  ,2369,2191,20,先融期货  ,2508,0,20,中金期货  ,2153,38,
合计,,142819,56469,合计,,91727,1118,合计,,104980,-1537,
合约代码 ：al2006                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,7235,468,1,国投安信  ,6968,4,1,中信期货  ,11779,785,
2,国富期货  ,5864,2360,2,国信期货  ,4802,8,2,国泰君安  ,6251,3274,
3,广发期货  ,5332,3837,3,中粮期货  ,4721,76,3,银河期货  ,5369,-2386,
4,东证期货  ,5249,947,4,广发期货  ,4630,1724,4,中粮期货  ,4282,-40,
5,申万期货  ,4547,1134,5,中信期货  ,3438,-332,5,永安期货  ,3139,106,
6,中信期货  ,3887,2100,6,永安期货  ,3218,22,6,华泰期货  ,2678,-108,
7,中辉期货  ,3623,1066,7,华泰期货  ,3134,-65,7,建信期货  ,2547,449,
8,国泰君安  ,3529,2533,8,先融期货  ,3131,1,8,东亚期货  ,2425,-467,
9,银河期货  ,2931,2726,9,海通期货  ,3033,7,9,国投安信  ,2385,-30,
10,东亚期货  ,1908,990,10,五矿经易  ,2902,32,10,金瑞期货  ,2233,182,
11,华闻期货  ,1616,695,11,云晨期货  ,2592,1,11,中金期货  ,2030,34,
12,南华期货  ,1459,455,12,上海中期  ,2443,42,12,一德期货  ,1808,201,
13,华泰期货  ,1379,637,13,方正中期  ,2244,19,13,首创期货  ,1777,24,
14,五矿经易  ,1109,557,14,红塔期货  ,2000,0,14,申万期货  ,1743,442,
15,倍特期货  ,1058,462,15,迈科期货  ,1605,40,15,先融期货  ,1660,110,
16,上海中期  ,1028,737,16,东证期货  ,1426,327,16,上海中期  ,1627,122,
17,宏源期货  ,1014,-327,17,东海期货  ,1062,40,17,东吴期货  ,1482,9,
18,金瑞期货  ,753,641,18,英大期货  ,1050,0,18,华信期货  ,1472,1,
19,方正中期  ,748,102,19,南华期货  ,995,-53,19,广发期货  ,1255,-2408,
20,国信期货  ,666,385,20,光大期货  ,978,153,20,鲁证期货  ,1184,186,
合计,,54935,22505,合计,,56372,2046,合计,,59126,486,
合约代码 ：al2007                        2020-03-13,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,国金期货  ,4218,-407,1,国信期货  ,5352,765,1,中信期货  ,6646,77,
2,申万期货  ,3191,-261,2,中粮期货  ,3795,-1,2,国投安信  ,6165,-39,
3,国信期货  ,3000,564,3,海通期货  ,2353,808,3,永安期货  ,5529,-16,
4,东证期货  ,2416,-1206,4,华泰期货  ,2312,159,4,国贸期货  ,4757,429,
5,国富期货  ,2350,76,5,国投安信  ,2238,13,5,华安期货  ,3205,1869,
6,华安期货  ,1875,1847,6,上海中期  ,2104,8,6,东证期货  ,3052,11,
7,中信期货  ,1742,-36,7,中信期货  ,1543,97,7,广州期货  ,2664,4,
8,海通期货  ,1595,495,8,广发期货  ,1503,50,8,国信期货  ,2003,1957,
9,华泰期货  ,1288,-86,9,永安期货  ,1447,-79,9,中粮期货  ,1755,-14,
10,宏源期货  ,1168,230,10,金瑞期货  ,1049,82,10,一德期货  ,1585,497,
11,中辉期货  ,1137,-732,11,五矿经易  ,988,0,11,南华期货  ,1469,0,
12,天富期货  ,1026,-182,12,迈科期货  ,973,1,12,银河期货  ,1378,128,
