					郑州商品交易所期货持仓排名表(2020-02-19)

品种：苹果AP              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
3     |东方财富      |672         |-88       |方正中期      |1,638     |-427      |美尔雅        |1,638     |1         
4     |华泰期货      |535         |66        |中信期货      |883       |97        |方正中期      |1,404     |-311      
5     |华安期货      |444         |52        |兴业期货      |834       |0         |华金期货      |1,287     |0         
6     |国泰君安      |438         |277       |国泰君安      |817       |-32       |新湖期货      |1,001     |-7        
7     |国元期货      |361         |332       |中信建投      |636       |7         |国泰君安      |836       |244       
8     |新湖期货      |358         |-38       |新湖期货      |582       |-13       |广州期货      |816       |42        
9     |光大期货      |294         |-324      |东证期货      |566       |-41       |上海大陆      |814       |5         
10    |东证期货      |260         |54        |华泰期货      |555       |-11       |中信期货      |797       |-28       
11    |徽商期货      |255         |19        |冠通期货      |534       |2         |弘业期货      |639       |-10       
12    |宏源期货      |246         |115       |东方财富      |500       |-4        |浙商期货      |606       |-29       
13    |中信期货      |231         |-22       |东吴期货      |483       |-5        |冠通期货      |521       |0         
14    |永安期货      |223         |45        |广州金控      |472       |10        |东吴期货      |517       |7         
15    |海证期货      |210         |-41       |银河期货      |464       |-21       |东证期货      |498       |-109      
16    |广州期货      |205         |158       |浙商期货      |378       |27        |中信建投      |490       |0         
17    |兴证期货      |202         |-91       |南华期货      |367       |-15       |中州期货      |443       |73        
18    |冠通期货      |174         |106       |美尔雅        |321       |-14       |倍特期货      |436       |0         
19    |中粮期货      |122         |66        |华安期货      |317       |27        |中辉期货      |411       |3         
20    |安粮期货      |111         |-24       |中辉期货      |308       |-19       |混沌天成期货  |401       |0         
合计  |              |7002        |738       |                |16287     |-410      |              |17958     |-68       

品种：硅铁SF              日期： 2020-02-19
名次  |会员简称      |成交量（手）|增减量    |会员简称      |持买仓量  |增减量    |会员简称      |持卖仓量  |增减量
1     |东证期货      |3,930       |-915      |国投安信期货  |13,218    |190       |中信期货      |7,546     |165       
