交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	T2003                         	10	南华期货	0	0	中辉期货	0	-1	上海东证	0	0
20200302	T2003                         	11	格林大华	0	0	第一创业	0	0	中辉期货	0	0
20200302	T2006                         	1	上海东证	17373	-2373	中信期货	11707	710	中信期货	6358	404
20200302	T2006                         	2	中信期货	10368	-1107	国投安信	4192	296	永安期货	6195	414
20200302	T2006                         	3	国泰君安	10034	1881	华泰期货	3931	-1263	国泰君安	5124	134
20200302	T2006                         	4	国金期货	5742	-54	上海东证	3533	-396	银河期货	4300	-401
20200302	T2006                         	5	华泰期货	5160	1365	国泰君安	3065	128	海通期货	3343	-73
20200302	T2006                         	6	海通期货	3958	-344	天风期货	2586	576	上海东证	2829	5
20200302	T2006                         	7	国投安信	3727	-232	永安期货	2345	372	华泰期货	2808	-31
20200302	T2006                         	8	银河期货	3641	672	渤海期货	2058	81	国金期货	2625	-435
20200302	T2006                         	9	天风期货	3607	-1904	海通期货	1902	-5	天风期货	2336	563
20200302	T2006                         	10	方正中期	3557	53	宏源期货	1890	635	乾坤期货	1718	0
20200302	T2006                         	11	申银万国	2667	295	方正中期	1544	64	格林大华	1687	898
20200302	T2006                         	12	东海期货	2498	-335	广发期货	1488	-79	国投安信	1669	13
20200302	T2006                         	13	格林大华	2449	537	宝城期货	1382	180	中信建投	1664	120
20200302	T2006                         	14	鲁证期货	2166	-401	格林大华	1371	-525	华西期货	1568	-304
20200302	T2006                         	15	永安期货	1838	181	银河期货	1248	-96	和融期货	1539	-681
20200302	T2006                         	16	兴证期货	1734	1091	鲁证期货	1228	-389	宏源期货	1526	-79
20200302	T2006                         	17	宏源期货	1716	335	中融汇信	1190	25	宝城期货	1161	-46
20200302	T2006                         	18	中国国际	1567	819	国信期货	1052	-48	民生期货	1114	52
20200302	T2006                         	19	金瑞期货	1552	120	新湖期货	953	-38	东海期货	1106	-327
20200302	T2006                         	20	光大期货	1315	728	中金期货	915	-3	平安期货	961	-581
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	TF2003                        	期货公司	156	-398	2228	-39	2228	-39			
20200302	TF2003                        	非期货公司	0	0	0	0	0	0			
20200302	TF2006                        	期货公司	27328	52	26936	1231	26936	1231			
20200302	TF2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200302	TF2003                        	1	永安期货	42	-59	永安期货	1488	-39	格林大华	1155	1
20200302	TF2003                        	2	中信期货	36	-24	平安期货	700	0	第一创业	569	-10
20200302	TF2003                        	3	国金期货	30	-138	银河期货	40	0	国金期货	480	-20
20200302	TF2003                        	4	上海东证	17	-27	南华期货	0	0	南华期货	10	0
20200302	TF2003                        	5	华泰期货	10	-40	华泰期货	0	0	中信期货	10	0
20200302	TF2003                        	6	银河期货	10	-20	中信期货	0	0	上海东证	3	-7
20200302	TF2003                        	7	第一创业	10	10	格林大华	0	0	银河期货	1	0
20200302	TF2003                        	8	格林大华	1	-13	国金期货	0	0	永安期货	0	-3
20200302	TF2003                        	9	南华期货	0	0	上海东证	0	0	华泰期货	0	0
20200302	TF2003                        	10	平安期货	0	-40	第一创业	0	0	平安期货	0	0
20200302	TF2006                        	1	上海东证	6491	-297	银河期货	3349	56	国泰君安	3313	290
20200302	TF2006                        	2	申银万国	2347	1750	和融期货	2750	0	广发期货	2094	0
20200302	TF2006                        	3	中信期货	2112	-298	平安期货	2495	73	海通期货	2060	48
20200302	TF2006                        	4	永安期货	1384	676	中信期货	2185	-46	上海东证	1895	17
20200302	TF2006                        	5	国金期货	1271	197	宏源期货	2070	4	华西期货	1815	0
20200302	TF2006                        	6	国投安信	1157	701	国投安信	1414	587	平安期货	1776	310
20200302	TF2006                        	7	天风期货	1056	-57	上海东证	1250	452	中信建投	1632	6
20200302	TF2006                        	8	华泰期货	981	-366	永安期货	1132	284	东海期货	1127	18
20200302	TF2006                        	9	西部期货	928	-335	海通期货	1046	29	渤海期货	997	20
20200302	TF2006                        	10	国泰君安	837	-170	华泰期货	820	-118	宝城期货	954	324
20200302	TF2006                        	11	上海中期	809	142	国泰君安	793	-1	鲁证期货	911	4
20200302	TF2006                        	12	南华期货	711	26	方正中期	644	-10	永安期货	909	10
20200302	TF2006                        	13	平安期货	603	-146	中金期货	539	-1	华泰期货	722	43
20200302	TF2006                        	14	国海良时	501	-65	东吴期货	471	25	国信期货	706	0
20200302	TF2006                        	15	浙商期货	442	367	广发期货	468	97	第一创业	574	97
20200302	TF2006                        	16	银河期货	402	-166	渤海期货	404	23	兴证期货	570	40
20200302	TF2006                        	17	国信期货	375	-24	一德期货	377	75	浙商期货	534	-326
20200302	TF2006                        	18	东海期货	369	-45	宝城期货	332	0	中信期货	459	86
20200302	TF2006                        	19	海通期货	353	-225	新湖期货	285	0	中原期货	402	0
20200302	TF2006                        	20	宝城期货	324	-186	天风期货	266	14	民生期货	331	-50
交易日	合约	会员类别	总成交量	比上交易日增减	总持买单量	比上交易日增减	总持卖单量	比上一交易日增减			
20200302	TS2003                        	期货公司	0	-168	319	0	319	0			
20200302	TS2003                        	非期货公司	0	0	0	0	0	0			
20200302	TS2006                        	期货公司	22080	428	10833	546	10833	546			
20200302	TS2006                        	非期货公司	0	0	0	0	0	0			
交易日	合约	排名	成交量排名			持买单量排名			持卖单量排名		
			会员简称	成交量	比上一交易日增减	会员简称	持买单量	比上一交易日增减	会员简称	持卖单量	比上一交易日增减
20200302	TS2003                        	1	永安期货	0	-70	永安期货	194	0	第一创业	265	0
20200302	TS2003                        	2	华泰期货	0	-37	中信期货	65	0	华泰期货	50	0
20200302	TS2003                        	3	中信期货	0	-11	平安期货	40	0	上海东证	4	0
20200302	TS2003                        	4	平安期货	0	0	银河期货	20	0	永安期货	0	0
20200302	TS2003                        	5	银河期货	0	0	华泰期货	0	0	中信期货	0	0
20200302	TS2003                        	6	上海东证	0	0	上海东证	0	0	平安期货	0	0
20200302	TS2003                        	7	第一创业	0	-25	第一创业	0	0	银河期货	0	0
20200302	TS2006                        	1	上海东证	6615	-111	宏源期货	1649	-206	银河期货	2650	-6
20200302	TS2006                        	2	银河期货	2349	94	海通期货	1595	-27	国投安信	1877	682
20200302	TS2006                        	3	申银万国	1776	-541	中信期货	1467	-2	上海东证	1600	0
20200302	TS2006                        	4	永安期货	1765	453	国投安信	962	505	国泰君安	1102	2
20200302	TS2006                        	5	中信期货	1755	-148	银河期货	950	45	永安期货	748	-63
20200302	TS2006                        	6	国投安信	1509	1173	上海东证	683	31	中信期货	432	-5
20200302	TS2006                        	7	天风期货	1436	54	东海期货	470	0	华泰期货	405	53
20200302	TS2006                        	8	方正中期	1249	-853	兴业期货	327	10	兴证期货	400	0
20200302	TS2006                        	9	华泰期货	1017	623	中电投  	285	0	第一创业	255	-77
20200302	TS2006                        	10	国金期货	814	-67	华泰期货	263	106	和融期货	200	0
20200302	TS2006                        	11	海通期货	320	-98	山金期货	226	1	创元期货	185	0
20200302	TS2006                        	12	国海良时	260	208	兴证期货	190	15	中航期货	172	-3
20200302	TS2006                        	13	宏源期货	206	-6	南华期货	182	13	建信期货	121	-6
20200302	TS2006                        	14	华鑫期货	184	25	福能期货	153	0	兴业期货	105	-4
20200302	TS2006                        	15	第一创业	171	142	永安期货	120	-38	长江期货	100	-1
20200302	TS2006                        	16	南华期货	97	-110	申银万国	113	-2	渤海期货	76	0
20200302	TS2006                        	17	新湖期货	64	-27	一德期货	100	0	华安期货	61	0
20200302	TS2006                        	18	徽商期货	60	24	东航期货	100	21	东海期货	56	0
20200302	TS2006                        	19	上海中期	56	11	广州期货	100	30	广发期货	51	0
20200302	TS2006                        	20	西部期货	54	24	国海良时	83	0	天风期货	50	4
